dataset,homogeneity_delta_mean,intervention_effect_ci_high,intervention_effect_ci_low,intervention_effect_mean,mixed_count,mixed_mean_family_diversity,model,paired_question_count,same_count,same_mean_family_diversity,subject
mmlu,-0.14563247157871206,0.2754887502163468,0.22291916206263185,0.2492039561394893,2,0.8543708529812304,deepseek-chat,2,2,0.605166896841741,high_school_geography
mmlu,0.2732445306782169,-0.16372245957723808,-0.3592584215189892,-0.26149044054811366,2,0.14167311124471824,gemini-2.5-flash-lite,2,2,0.40316355179283186,high_school_geography
mmlu,0.20281249860921693,0.20485054535735253,0.0652024590511493,0.13502650220425091,2,0.3512698823837327,gpt-4o-mini,2,2,0.2162433801794818,high_school_geography
mmlu,-0.10668688490986189,0.19982556404353702,-0.04510575211798068,0.07735990596277817,2,0.47794385504816855,qwen2.5-7b-instruct,2,2,0.4005839490853904,high_school_geography
mmlu,0.07025316455696207,0.0,-0.01348865750570638,-0.00674432875285319,2,0.4448692934910484,deepseek-chat,2,2,0.45161362224390156,high_school_government_and_politics
mmlu,0.12477817375104522,0.24197101777486724,-0.100957973066444,0.07050652235421162,2,0.36521293499303087,gemini-2.5-flash-lite,2,2,0.29470641263881925,high_school_government_and_politics
mmlu,-0.4893867521294958,0.20920839661570761,-0.03665340115552468,0.08627749773009147,2,0.41737778389806307,gpt-4o-mini,2,2,0.3311002861679716,high_school_government_and_politics
mmlu,-0.0630335711711803,0.11578774750929582,0.019829025983439608,0.06780838674636772,2,0.5343431058286059,qwen2.5-7b-instruct,2,2,0.4665347190822381,high_school_government_and_politics
mmlu,-0.023897818881562522,0.20612222286913584,-0.30630046548558365,-0.08796690073122863,3,0.39343670529250546,deepseek-chat,3,3,0.4814036060237341,high_school_macroeconomics
mmlu,0.05718437152495077,-0.06756487917105736,-0.07279919406752033,-0.06973623828694363,3,0.4812273670146265,gemini-2.5-flash-lite,3,3,0.5509636053015701,high_school_macroeconomics
mmlu,-0.32547133222824576,0.621311115288486,0.1436174303734732,0.3684313963176205,3,0.7019340118984606,gpt-4o-mini,3,3,0.33350261558084004,high_school_macroeconomics
mmlu,-0.21087054786518958,0.3897983999439804,0.01366707901937858,0.15216090189848178,3,0.6764087868147383,qwen2.5-7b-instruct,3,3,0.5242478849162565,high_school_macroeconomics
mmlu,-0.362298046067315,0.3476084756587505,-0.10769825582573422,0.11995510991650815,2,0.6572266097366203,deepseek-chat,2,2,0.5372714998201121,high_school_mathematics
mmlu,-0.004367528421287958,0.05256958815371515,0.0,0.026284794076857576,2,0.6215388023828019,gemini-2.5-flash-lite,2,2,0.5952540083059443,high_school_mathematics
mmlu,0.2897101344884513,-0.028232851079284527,-0.21868664652493042,-0.12345974880210747,2,0.5817174698299573,gpt-4o-mini,2,2,0.7051772186320648,high_school_mathematics
mmlu,0.0865653567800958,0.06844215079477745,-0.1204975784204041,-0.026027713812813325,2,0.7268749823837625,qwen2.5-7b-instruct,2,2,0.7529026961965758,high_school_mathematics
mmlu,-0.6451105099626622,0.3873155487196444,0.3152007667853989,0.3441965706820649,3,0.6954196700238205,deepseek-chat,3,3,0.3512230993417556,high_school_microeconomics
mmlu,0.015783636472695945,0.16372245957723808,-0.08281082203212298,0.055300782189196096,3,0.48950171546027504,gemini-2.5-flash-lite,3,3,0.43420093327107895,high_school_microeconomics
mmlu,0.18396427727090345,0.33288525375599387,-0.29062197721917526,-0.08192756024884412,3,0.40936905932978335,gpt-4o-mini,3,3,0.4912966195786274,high_school_microeconomics
mmlu,-0.14522550450723556,0.049551118151205664,-0.19593884576429654,-0.06757422174018884,3,0.5953528683774182,qwen2.5-7b-instruct,3,3,0.6629270901176071,high_school_microeconomics
mmlu,-0.3700815569921921,0.36825239246461106,0.021152492589864208,0.19198477377977857,4,0.6362570783472559,deepseek-chat,4,4,0.44427230456747735,high_school_physics
