dataset,homogeneity_delta_mean,intervention_effect_ci_high,intervention_effect_ci_low,intervention_effect_mean,mixed_count,mixed_mean_family_diversity,model,paired_question_count,same_count,same_mean_family_diversity,subject
mmlu,0.1138336146342334,0.355671773521086,-0.07404321547893367,0.12803049697350763,3,0.5903406470120696,gpt-4o-mini,3,6,0.4932833795168869,conceptual_physics
mmlu,0.05374383197609798,0.04404989199269016,-0.1743776910812641,-0.08615201729212241,3,0.5949864404710948,qwen2.5-7b-instruct,3,6,0.6520287594098437,conceptual_physics
mmlu,-0.22010123699637255,0.10915527103063827,-0.1759650169716643,-0.01885208950450355,3,0.6011400859951509,deepseek-chat,3,6,0.45017590547883746,electrical_engineering
mmlu,-0.16512726942608272,0.1268700921483396,-0.04169265999724092,0.026570221814825584,3,0.5001311113460254,gemini-2.5-flash-lite,3,6,0.5052785739643716,electrical_engineering
mmlu,-0.17216112905255654,0.36714119494722447,-0.01771964923276409,0.1156577326512289,3,0.525435949020672,gpt-4o-mini,3,6,0.4087445244403767,electrical_engineering
mmlu,0.03309877519352652,-0.047115035143581674,-0.2833462224894365,-0.1537655870346975,3,0.21664624150013037,qwen2.5-7b-instruct,3,6,0.23932797970640665,electrical_engineering
mmlu,-0.30195151547737414,0.7682439488534497,0.05674020356797904,0.38924902598278704,3,0.6963892380533409,deepseek-chat,3,6,0.4920621279507504,elementary_mathematics
mmlu,-0.12513931951829094,0.20992321847835319,-0.054148310995681515,0.05192496916089053,3,0.5447922821898358,gemini-2.5-flash-lite,3,6,0.5333504635040496,elementary_mathematics
mmlu,0.12499030114962512,0.15483499176321713,-0.1897406418816836,-0.07280301769884945,3,0.5386428668682707,gpt-4o-mini,3,6,0.5419827352788759,elementary_mathematics
mmlu,-0.13580724938436134,0.1171486256914106,-0.05901007751117282,0.0021387660710747345,3,0.7211917001028786,qwen2.5-7b-instruct,3,6,0.5827139482197888,elementary_mathematics
mmlu,0.19529863574727,0.0,-0.15032318474498285,-0.05390630407786571,3,0.378805082728395,deepseek-chat,3,6,0.2908671404142428,formal_logic
mmlu,-0.03921750689275436,0.01264012334439335,-0.12477194586956897,-0.03737727417505854,3,0.3741737320123198,gemini-2.5-flash-lite,3,6,0.4769241360968364,formal_logic
mmlu,-0.1502240271711304,0.6544788325876625,0.01577274949787799,0.27615695283033775,3,0.556336349438872,gpt-4o-mini,3,6,0.31016800587543214,formal_logic
mmlu,-0.1488928310671869,0.25739994469149535,-0.011781197996754922,0.08506095400018833,3,0.5575194753125413,qwen2.5-7b-instruct,3,6,0.4285926695928087,formal_logic
mmlu,-0.5808771481384942,0.4722055438319187,0.4722055438319187,0.4722055438319187,1,0.7844359684647981,deepseek-chat,1,2,0.6135615180667806,global_facts
mmlu,0.011392405063290978,-0.023567355642862275,-0.023567355642862275,-0.023567355642862275,1,0.3463392121887338,gemini-2.5-flash-lite,1,2,0.49359117415871934,global_facts
mmlu,0.008735056842576028,0.057481616828121196,0.057481616828121196,0.057481616828121196,1,0.39752013969226113,gpt-4o-mini,1,2,0.5943098805832879,global_facts
mmlu,-0.45968618071345235,0.3694016823474154,0.3694016823474154,0.3694016823474154,1,0.7094402052115553,qwen2.5-7b-instruct,1,2,0.5264517063174451,global_facts
mmlu,0.20250854413283478,-0.15913633572791008,-0.16298871891230748,-0.16106252732010878,2,0.4019553157947159,deepseek-chat,2,4,0.6071167462004414,high_school_biology
mmlu,0.004367528421287847,-0.13283970704857906,-0.16372245957723808,-0.14828108331290857,2,0.13234021632184104,gemini-2.5-flash-lite,2,4,0.3817767040108554,high_school_biology
