seed,update_index,target_agent_id,candidate_index,candidate_hash,variant,geometry_type,constraint_passed,globally_accepted,repair_set_gain_count,repair_set_loss_count,r1_repair_count,orphan_repair_count,vote_conversion_on_repair_set,repair_distance_reduction_count,P1_loss_count,P2_loss_count,P3_loss_count,total_preservation_violation_count,fixed_pool_aligned,evidence_level
48,3,1,1,7ec4ddc922126c96e6821e09db633d1a85b6ae7056244d64fb2fb0e253d0c14c,C1_BOUNDARY_PROPAGATION,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,3,1,1,7ec4ddc922126c96e6821e09db633d1a85b6ae7056244d64fb2fb0e253d0c14c,C2_BOUNDARY_PLUS_PRESERVATION,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,3,1,1,7ec4ddc922126c96e6821e09db633d1a85b6ae7056244d64fb2fb0e253d0c14c,C3_COALITION_AWARE_PRESERVATION,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,4,4,0,06966f9f0292afa8c5c1447079df7ff7c9b45b147c88a7dad009957e5b35fa97,C0_CURRENT_V15,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,4,4,0,06966f9f0292afa8c5c1447079df7ff7c9b45b147c88a7dad009957e5b35fa97,C1_BOUNDARY_PROPAGATION,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,4,4,0,06966f9f0292afa8c5c1447079df7ff7c9b45b147c88a7dad009957e5b35fa97,C2_BOUNDARY_PLUS_PRESERVATION,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,4,4,0,06966f9f0292afa8c5c1447079df7ff7c9b45b147c88a7dad009957e5b35fa97,C3_COALITION_AWARE_PRESERVATION,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,4,4,1,502d9dc58f45912be57a0b4e51a727147e852ca772b7647bf59a03d51df013ab,C0_CURRENT_V15,A,True,True,1,0,1,0,1,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,4,4,1,502d9dc58f45912be57a0b4e51a727147e852ca772b7647bf59a03d51df013ab,C1_BOUNDARY_PROPAGATION,A,True,True,1,0,1,0,1,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,4,4,1,502d9dc58f45912be57a0b4e51a727147e852ca772b7647bf59a03d51df013ab,C2_BOUNDARY_PLUS_PRESERVATION,A,True,True,1,0,1,0,1,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,4,4,1,502d9dc58f45912be57a0b4e51a727147e852ca772b7647bf59a03d51df013ab,C3_COALITION_AWARE_PRESERVATION,A,True,True,1,0,1,0,1,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,5,4,0,73773bb7371b0c5c1dbc13b394ff3716d671ee2f0860812ed5cc439d17dedd51,C0_CURRENT_V15,F,False,False,0,0,0,0,0,0,0,0,0,0,False,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,5,4,0,73773bb7371b0c5c1dbc13b394ff3716d671ee2f0860812ed5cc439d17dedd51,C1_BOUNDARY_PROPAGATION,F,False,False,1,0,1,0,1,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
48,5,4,0,73773bb7371b0c5c1dbc13b394ff3716d671ee2f0860812ed5cc439d17dedd51,C2_BOUNDARY_PLUS_PRESERVATION,F,False,False,1,0,1,0,1,1,0,0,0,0,True,B_FIXED_POOL_RETROSPECTIVE_C0_GENERATED_CANDIDATE
